feature_window,model,mae_bu_acre,rmse_bu_acre,pooled_r2,oos_r2_vs_hist_mean,acreage_weighted_mae,acreage_weighted_rmse
July-end,Random Forest,6.119826579841296,7.659642609174151,0.5199826757433716,0.5460376374403384,6.356502506873089,7.836471967120612
July-end,XGBoost,6.1378415789239416,7.6641251218751165,0.5194206878131852,0.5455061537716759,6.372798333356123,7.852567129493857
July-end,Linear Regression,6.276152764591915,7.826531866346381,0.49883744500671934,0.5260401531475674,6.606953346542127,8.14042356478975
July-end,Historical Mean,9.25960065212817,11.368380018329475,-0.0573945415872279,0.0,10.221204981171411,12.220504517724509
August-end,XGBoost,5.253799240127809,6.648759163936487,0.6383228242015322,0.6579543759933133,5.4489545792539875,6.848914208885056
August-end,Random Forest,5.427296474057271,6.846145533878947,0.6165293293101629,0.6373438148127575,5.661016315714575,7.096521806873913
August-end,Linear Regression,5.627685031899355,7.182927753152833,0.577873229195029,0.6007859373178461,5.920518555394421,7.572669971326592
August-end,Historical Mean,9.25960065212817,11.368380018329475,-0.0573945415872279,0.0,10.221204981171411,12.220504517724509
September-end,XGBoost,5.230867861137107,6.615880192072411,0.6418910602321749,0.6613289309870307,5.354762355709972,6.742152771223308
September-end,Random Forest,5.564973288839847,6.999922882201397,0.5991089045558164,0.6208689569719017,5.81309273527318,7.267096476062748
September-end,Linear Regression,5.4978146153084,7.016527649949579,0.5972047124820641,0.6190681229417827,5.68852593859097,7.284611875258752
September-end,Historical Mean,9.25960065212817,11.368380018329475,-0.0573945415872279,0.0,10.221204981171411,12.220504517724509
