horizon,num_trades,hit_rate,avg_strategy_return,median_strategy_return,total_strategy_return
3d,5,0.6,0.005829260465070085,0.007043631383290894,0.029146302325350426
5d,5,0.8,0.009264649513969481,0.013892273945893208,0.0463232475698474
10d,5,0.4,0.0027562752629943787,-0.014282919193895571,0.013781376314971894
20d,5,0.8,0.019849292819922447,0.023397514014136034,0.09924646409961224
oct_end,5,0.4,0.0015645327520315,-0.014543630892678072,0.0078226637601575
