feature_window,model,mae_bu_acre,rmse_bu_acre,pooled_r2,oos_r2_vs_hist_mean,acreage_weighted_mae,acreage_weighted_rmse
July-end,Random Forest,6.119826579841296,7.659642609174151,0.5199826757433716,0.5460376374403384,6.356502506873089,7.836471967120612
August-end,XGBoost,5.253799240127809,6.648759163936487,0.6383228242015322,0.6579543759933133,5.4489545792539875,6.848914208885056
September-end,XGBoost,5.230867861137107,6.615880192072411,0.6418910602321749,0.6613289309870307,5.354762355709972,6.742152771223308
